# To measure flux divietions for ICCP rebutle Original cloud is unknown
32, 32, 64 # nx,ny,nz
0.050, 0.050 # dx,dy [km, km]
0.000, 0.040, 0.080, 0.120, 0.160, 0.200, 0.240, 0.280, 0.320, 0.360, 0.400, 0.440, 0.480, 0.520, 0.560, 0.600, 0.640, 0.680, 0.720, 0.760, 0.800, 0.840, 0.880, 0.920, 0.960, 1.000, 1.040, 1.080, 1.120, 1.160, 1.200, 1.240, 1.280, 1.320, 1.360, 1.400, 1.440, 1.480, 1.520, 1.560, 1.600, 1.640, 1.680, 1.720, 1.760, 1.800, 1.840, 1.880, 1.920, 1.960, 2.000, 2.040, 2.080, 2.120, 2.160, 2.200, 2.240, 2.280, 2.320, 2.360, 2.400, 2.440, 2.480, 2.520 # altitude levels [km]
x,y,z,lwc,reff,veff
6 ,2 ,26 ,0.04440 ,10.000 ,0.10000
6 ,2 ,27 ,0.02537 ,10.000 ,0.10000
6 ,2 ,28 ,0.02537 ,10.000 ,0.10000
6 ,2 ,29 ,0.02537 ,10.000 ,0.10000
6 ,2 ,30 ,0.04440 ,10.000 ,0.10000
6 ,3 ,14 ,0.01269 ,10.000 ,0.10000
6 ,3 ,15 ,0.04440 ,10.000 ,0.10000
6 ,3 ,16 ,0.06343 ,10.000 ,0.10000
6 ,3 ,17 ,0.01269 ,10.000 ,0.10000
6 ,3 ,18 ,0.02537 ,10.000 ,0.10000
6 ,3 ,23 ,0.03806 ,10.000 ,0.10000
6 ,3 ,24 ,0.02537 ,10.000 ,0.10000
6 ,3 ,25 ,0.01903 ,10.000 ,0.10000
6 ,4 ,14 ,0.01269 ,10.000 ,0.10000
6 ,4 ,15 ,0.07612 ,10.000 ,0.10000
6 ,4 ,16 ,0.03172 ,10.000 ,0.10000
6 ,4 ,17 ,0.00634 ,10.000 ,0.10000
6 ,4 ,18 ,0.01903 ,10.000 ,0.10000
6 ,4 ,26 ,0.02537 ,10.000 ,0.10000
6 ,5 ,15 ,0.03806 ,10.000 ,0.10000
6 ,5 ,16 ,0.07612 ,10.000 ,0.10000
6 ,5 ,17 ,0.13321 ,10.000 ,0.10000
6 ,5 ,18 ,0.01269 ,10.000 ,0.10000
6 ,5 ,19 ,0.02537 ,10.000 ,0.10000
6 ,6 ,15 ,0.01269 ,10.000 ,0.10000
6 ,6 ,16 ,0.03172 ,10.000 ,0.10000
6 ,6 ,17 ,0.05075 ,10.000 ,0.10000
6 ,6 ,18 ,0.02537 ,10.000 ,0.10000
7 ,1 ,15 ,0.07612 ,10.000 ,0.10000
7 ,1 ,16 ,0.01269 ,10.000 ,0.10000
7 ,1 ,17 ,0.01269 ,10.000 ,0.10000
7 ,1 ,18 ,0.00634 ,10.000 ,0.10000
7 ,1 ,20 ,0.01269 ,10.000 ,0.10000
7 ,1 ,29 ,0.01269 ,10.000 ,0.10000
7 ,1 ,30 ,0.02537 ,10.000 ,0.10000
7 ,1 ,31 ,0.03172 ,10.000 ,0.10000
7 ,1 ,32 ,0.06343 ,10.000 ,0.10000
7 ,1 ,33 ,0.11418 ,10.000 ,0.10000
7 ,1 ,34 ,0.05709 ,10.000 ,0.10000
7 ,2 ,15 ,0.02537 ,10.000 ,0.10000
7 ,2 ,16 ,0.01269 ,10.000 ,0.10000
7 ,2 ,17 ,0.01269 ,10.000 ,0.10000
7 ,2 ,18 ,0.01269 ,10.000 ,0.10000
7 ,2 ,25 ,0.02537 ,10.000 ,0.10000
7 ,2 ,26 ,0.02537 ,10.000 ,0.10000
7 ,2 ,28 ,0.02537 ,10.000 ,0.10000
7 ,3 ,14 ,0.01269 ,10.000 ,0.10000
7 ,3 ,15 ,0.05075 ,10.000 ,0.10000
7 ,3 ,16 ,0.07612 ,10.000 ,0.10000
7 ,3 ,17 ,0.00634 ,10.000 ,0.10000
7 ,3 ,18 ,0.01269 ,10.000 ,0.10000
7 ,3 ,20 ,0.01269 ,10.000 ,0.10000
7 ,3 ,21 ,0.02537 ,10.000 ,0.10000
7 ,4 ,14 ,0.01903 ,10.000 ,0.10000
7 ,4 ,15 ,0.05075 ,10.000 ,0.10000
7 ,4 ,16 ,0.06978 ,10.000 ,0.10000
7 ,4 ,17 ,0.01269 ,10.000 ,0.10000
7 ,4 ,18 ,0.03172 ,10.000 ,0.10000
7 ,5 ,15 ,0.02537 ,10.000 ,0.10000
7 ,5 ,16 ,0.12053 ,10.000 ,0.10000
7 ,5 ,17 ,0.15224 ,10.000 ,0.10000
7 ,5 ,18 ,0.15224 ,10.000 ,0.10000
7 ,5 ,19 ,0.05709 ,10.000 ,0.10000
7 ,6 ,15 ,0.01903 ,10.000 ,0.10000
7 ,6 ,16 ,0.03172 ,10.000 ,0.10000
7 ,6 ,17 ,0.07612 ,10.000 ,0.10000
7 ,6 ,18 ,0.01903 ,10.000 ,0.10000
7 ,6 ,19 ,0.01269 ,10.000 ,0.10000
7 ,7 ,17 ,0.03172 ,10.000 ,0.10000
8 ,1 ,14 ,0.00634 ,10.000 ,0.10000
8 ,1 ,15 ,0.05075 ,10.000 ,0.10000
8 ,1 ,16 ,0.00634 ,10.000 ,0.10000
8 ,1 ,21 ,0.01269 ,10.000 ,0.10000
8 ,1 ,31 ,0.02537 ,10.000 ,0.10000
8 ,1 ,32 ,0.05709 ,10.000 ,0.10000
8 ,1 ,33 ,0.06978 ,10.000 ,0.10000
8 ,1 ,42 ,0.01903 ,10.000 ,0.10000
8 ,2 ,13 ,0.00634 ,10.000 ,0.10000
8 ,2 ,14 ,0.00634 ,10.000 ,0.10000
8 ,2 ,15 ,0.01269 ,10.000 ,0.10000
8 ,2 ,16 ,0.01269 ,10.000 ,0.10000
8 ,3 ,14 ,0.01269 ,10.000 ,0.10000
8 ,3 ,15 ,0.04440 ,10.000 ,0.10000
8 ,3 ,16 ,0.04440 ,10.000 ,0.10000
8 ,3 ,17 ,0.00634 ,10.000 ,0.10000
8 ,3 ,18 ,0.01269 ,10.000 ,0.10000
8 ,4 ,14 ,0.01269 ,10.000 ,0.10000
8 ,4 ,15 ,0.01903 ,10.000 ,0.10000
8 ,4 ,16 ,0.07612 ,10.000 ,0.10000
8 ,4 ,17 ,0.02537 ,10.000 ,0.10000
8 ,4 ,18 ,0.03172 ,10.000 ,0.10000
8 ,5 ,15 ,0.02537 ,10.000 ,0.10000
8 ,5 ,16 ,0.04440 ,10.000 ,0.10000
8 ,5 ,17 ,0.14590 ,10.000 ,0.10000
8 ,5 ,18 ,0.15224 ,10.000 ,0.10000
8 ,5 ,19 ,0.01903 ,10.000 ,0.10000
8 ,6 ,14 ,0.02537 ,10.000 ,0.10000
8 ,6 ,15 ,0.01269 ,10.000 ,0.10000
8 ,6 ,16 ,0.01269 ,10.000 ,0.10000
8 ,6 ,17 ,0.06978 ,10.000 ,0.10000
8 ,6 ,18 ,0.03172 ,10.000 ,0.10000
8 ,6 ,19 ,0.01269 ,10.000 ,0.10000
8 ,7 ,16 ,0.00634 ,10.000 ,0.10000
8 ,7 ,17 ,0.05709 ,10.000 ,0.10000
9 ,3 ,15 ,0.02537 ,10.000 ,0.10000
9 ,3 ,16 ,0.00634 ,10.000 ,0.10000
9 ,4 ,14 ,0.01269 ,10.000 ,0.10000
9 ,4 ,15 ,0.01269 ,10.000 ,0.10000
9 ,4 ,16 ,0.03172 ,10.000 ,0.10000
9 ,4 ,17 ,0.09515 ,10.000 ,0.10000
9 ,4 ,18 ,0.01269 ,10.000 ,0.10000
9 ,5 ,15 ,0.01269 ,10.000 ,0.10000
9 ,5 ,16 ,0.03806 ,10.000 ,0.10000
9 ,5 ,17 ,0.13321 ,10.000 ,0.10000
9 ,5 ,18 ,0.13956 ,10.000 ,0.10000
9 ,5 ,19 ,0.01269 ,10.000 ,0.10000
9 ,6 ,14 ,0.01269 ,10.000 ,0.10000
9 ,6 ,15 ,0.01903 ,10.000 ,0.10000
9 ,6 ,16 ,0.01269 ,10.000 ,0.10000
9 ,6 ,17 ,0.03806 ,10.000 ,0.10000
9 ,6 ,18 ,0.02537 ,10.000 ,0.10000
